Meses,2007,2008,2009,2010,2011,2012,2013,2014,2015
Julio,,"$96,100","$95,592","$94,382","$95,910","$95,503","$102,879","$111,486","$113,706"
Agosto,,"$90,181","$91,353","$88,000","$90,418","$92,332","$93,946","$96,264","$108,433"
Septiembre,,"$86,163","$77,788","$84,100","$86,698","$89,279","$92,579","$97,536","$115,725"
Octubre,,"$93,751","$86,191","$83,775","$83,698","$85,921","$88,461","$97,100","$114,047"
Noviembre,"$50,200","$96,170","$91,996","$85,120","$88,602","$91,376","$94,542","$97,565","$116,552"
Diciembre,"$110,000","$121,251","$119,836","$95,075","$94,798","$100,818","$99,764","$107,658","$121,524"
Enero,"$95,000","$89,798","$85,763","$118,476","$123,196","$121,373","$124,504","$129,890","$142,052"
Febrero,"$86,200","$86,486","$84,608","$88,942","$85,595","$90,459","$97,007","$99,444","$112,385"
Marzo,"$96,400","$89,355","$88,065","$82,538","$86,534","$87,686","$86,357","$93,504","$107,885"
Abril,"$85,700","$93,487","$88,788","$93,415","$91,590","$98,113","$93,257","$105,568","$120,034"
Mayo,"$94,400","$103,331","$82,854","$85,469","$86,534","$89,895","$92,985","$99,534","$118,538"
Junio,"$95,460","$97,526",-,"$94,296","$93,504","$95,677","$95,888","$106,678","$126,127"
