year,quarter,Population,Births,Deaths,Migration
2006,4,3806444,13130,7268,-9192
2007,1,3801520,11312,7293,-9761
2007,2,3794947,10709,7514,-9909
2007,3,3789407,12310,7012,-9923
2007,4,3784889,12417,7503,-10050
2008,1,3778857,10852,7732,-9533
2008,2,3772467,10557,7037,-9677
2008,3,3767258.7,12179,6974,-9693
2008,4,3762550.3,12101,7357,-9816
2009,1,3757147,10635,7469,-8887
2009,2,3751109,10314,7438,-9023
2009,3,3745800.7,11817,7046,-9036
2009,4,3741748.7,12064,7236,-9151
2010,1,3737441.7,10421,7114,-7812
2010,2,3732239.3,9634,7152,-7931
2010,3,3727303,10973,7334,-7944
2010,4,3723128,11175,7756,-8044
2011,1,3713887,9668,7861,-13276
2011,2,3702382,9490,7383,-13478
2011,3,3691857,11002,7270,-13499
2011,4,3682156.7,10973,7488,-13670
2012,1,3671350,9473,7642,-13133
2012,2,3659550.3,8925,7412,-13333
2012,3,3648466.7,10174,7370,-13353
2012,4,3638181.7,10402,7448,-13523
2013,1,3627382.3,8700,7659,-11971
2013,2,3616599,8682,7050,-12154
2013,3,3606157.7,9518,7451,-12172
2013,4,3596477,9680,7206,-12327
2014,1,3584001.7,8660,7189,-15355
2014,2,3569310.7,7933,7262,-15589
2014,3,3554760,8911,7451,-15612
2014,4,3539938.3,8991,8429,-15811
2015,1,3524499,7905,7574,-15873
2015,2,3508943.7,7239,6744,-16114
2015,3,3493339.3,7886,6912,-16139
2015,4,3478383.3,8206,7179,-16344
2016,1,3462050,7132,7790,-16062
2016,2,3445687.7,6957,6909,-16306
2016,3,3429173,7259,7252,-16330
2016,4,3412581.3,6978,7695,-16539
2017,1,3393266.3,6073,7705,-18388
2017,2,3373412,5980,7162,-18668
2017,3,3353424.3,6131,7652,-18696
2017,4,3332432,6211,8575,-18935
2018,1,3302955.7,4938,7980,-30563
2018,2,3269677,4916,6908,-31028
2018,3,3236931.7,5749,6990,-31075
2018,4,3204569,5883,7403,-31470
2019,1,3193147.3,5117,7709,2353
2019,2,3193087,4815,7372,2389
2019,3,3193238.3,5330,7226,2392
2019,4,3193699.7,5174,7345,2423
2020,1,3208044.3,4626,7998,24886
2020,2,3230195.7,4542,7329,25265
2020,3,3252451.3,5088,8229,25303
2020,4,3274465.3,4730,8597,25626
