Meses,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,324,386,332,222,94,154,184,236,374,309,301,289,346,370,347,254,283,234,217,119,100,115
Agosto,341,356,360,348,144,145,214,275,356,374,309,375,358,353,393,344,288,234,216,129,128,107
Septiembre,332,384,356,533,143,165,203,270,436,333,291,319,353,396,366,83,267,209,203,119,81,109
Octubre,351,449,308,"1,116",135,152,247,291,361,324,406,377,359,402,357,92,270,275,187,128,76,139
Noviembre,279,260,310,15,123,122,168,254,356,281,245,321,292,406,309,181,251,215,139,106,110,123
Diciembre,312,342,320,46,132,149,227,321,378,320,278,383,283,378,285,235,244,225,194,113,115,121
Enero,226,299,222,52,115,121,150,215,257,239,265,268,277,279,255,237,204,189,109,92,91,111
Febrero,362,388,246,69,131,161,220,294,320,301,300,322,340,396,365,265,257,250,162,105,89,154
Marzo,369,436,341,88,160,171,295,359,399,384,299,384,431,358,391,309,241,167,161,159,125,162
Abril,320,371,351,95,156,204,293,359,301,261,330,406,370,414,325,269,273,65,141,115,94,168
Mayo,370,377,290,103,161,200,253,392,335,334,337,391,384,368,342,312,255,169,138,114,126,167
Junio,397,390,297,106,146,211,290,373,372,320,352,324,370,366,330,268,253,273,139,125,122,139
