Meses,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,761,859,729,652,335,457,518,712,668,533,521,514,545,475,456,406,354,350,222,165,213,204
Agosto,814,857,699,900,406,515,531,732,686,634,562,604,533,482,514,454,399,428,200,170,234,272
Septiembre,797,925,715,"1,021",403,560,624,731,744,649,534,535,532,533,502,169,382,413,239,196,192,286
Octubre,941,997,721,"1,923",475,604,611,669,697,643,600,626,578,515,471,104,405,471,228,204,177,287
Noviembre,690,587,642,86,426,479,524,668,623,502,419,485,464,521,383,211,328,381,182,169,194,263
Diciembre,773,820,732,169,434,485,631,627,667,560,529,642,548,469,447,274,397,385,257,181,221,315
Enero,603,626,583,185,354,446,483,446,491,473,447,420,407,409,354,298,288,303,171,161,186,253
Febrero,835,831,606,223,441,516,645,625,614,533,535,581,472,500,418,271,369,408,208,185,223,298
Marzo,892,940,809,263,526,547,730,699,682,611,601,601,516,511,508,350,396,242,235,251,261,330
Abril,743,720,800,311,435,552,700,653,599,528,670,517,437,536,417,368,381,98,180,179,228,346
Mayo,926,664,750,302,534,532,637,709,617,563,640,594,468,503,466,394,448,195,190,210,247,329
Junio,830,834,733,303,487,557,640,725,557,587,565,503,491,483,494,358,383,241,185,214,231,282
