Meses,2015,2016,2017,2018,2019,2020,2021,2022,2023
Julio,2,2,0,2,0,0,0,0,0
Agosto,0,1,0,0,1,1,0,0,2
Septiembre,1,0,0,0,0,0,0,0,1
Octubre,4,1,1,0,1,1,0,0,1
Noviembre,0,1,1,0,0,0,0,0,0
Diciembre,2,1,2,1,0,3,1,0,0
Enero,1,0,1,0,0,0,0,0,0
Febrero,0,0,0,0,0,1,0,0,2
Marzo,0,1,0,1,2,0,0,0,0
Abril,0,1,1,0,1,0,0,0,1
Mayo,0,0,0,0,0,0,0,1,0
Junio,0,3,0,2,1,0,1,0,0
