Meses,2015,2016,2017,2018,2019,2020,2021,2022,2023
Julio,196,1,0,0,0,18,7,104,80
Agosto,9,0,4,84,3,52,27,107,125
Septiembre,0,0,42,0,1,9,59,139,101
Octubre,2,0,205,0,2,180,104,85,83
Noviembre,0,22,1,0,0,200,82,101,78
Diciembre,0,0,0,0,0,0,73,97,60
Enero,0,12,0,0,0,30,46,129,35
Febrero,0,2,372,0,123,0,71,141,54
Marzo,0,0,1,0,0,0,79,152,100
Abril,0,22,13,4,15,0,59,114,71
Mayo,0,10,75,0,0,0,55,140,55
Junio,1,0,60,0,9,0,77,124,75
