Meses,2015,2016,2017,2018,2019,2020,2021,2022,2023
Julio,0,0,0,0,0,0,0,0,0
Agosto,0,0,0,0,0,0,0,0,0
Septiembre,0,0,0,0,0,0,0,0,0
Octubre,0,0,0,0,103,0,0,0,0
Noviembre,0,0,103,0,0,0,0,0,0
Diciembre,0,12,140,0,0,0,0,0,0
Enero,0,0,0,0,0,0,0,0,0
Febrero,0,0,0,0,0,0,0,0,0
Marzo,0,0,0,0,0,0,0,0,0
Abril,0,0,0,0,0,0,0,0,0
Mayo,0,0,0,0,0,0,0,0,0
Junio,0,1,0,0,1,0,0,0,0
