Meses,2015,2016,2017,2018,2019,2020,2021,2022,2023
Julio,14,18,15,8,7,99,31,122,145
Agosto,21,17,20,13,13,161,54,127,230
Septiembre,19,21,23,3,23,212,86,158,145
Octubre,18,22,36,1,11,268,113,103,146
Noviembre,8,8,12,3,11,215,117,119,154
Diciembre,10,18,7,0,6,263,92,119,98
Enero,13,13,7,6,11,183,83,139,102
Febrero,20,20,14,3,27,276,99,163,209
Marzo,12,18,17,6,8,159,114,174,202
Abril,15,25,10,12,17,49,82,133,146
Mayo,17,16,14,6,18,59,80,160,156
Junio,25,20,13,3,25,227,128,141,143
